Product ID,Variant ID,Handle,Title,Body (HTML),Vendor,Type,Tags,Status,Product Category ID,Product Category Name,Product Category Full Path,Created At,Updated At,SEO Title,SEO Description,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Barcode,Variant Tax Code,Variant Inventory Policy,Inventory Item ID,Cost per item,Variant Grams,Variant Weight Unit,Image URLs,Image Alt Text,Last Synced,Delete,Sync Status,custom.asdfg,shopify.color-pattern,shopify.style,shopify.suitable-space,test_data.binding_mount,test_data.snowboard_length,Inventory Qty - My Custom Location,Inventory Qty - Shop location,Collection Names,Collection Handles,test_data.snowboard_weight,global.title_tag,global.description_tag,custom.color
gid://shopify/Product/9386568515805,gid://shopify/ProductVariant/47521623146717,gift-card,Final Location Validation again,,divyanshgunjanprateek,giftcard,,DRAFT,gid://shopify/ProductTaxonomyNode/5582,Gift Cards,Gift Cards,2026-02-28T07:32:42Z,2026-03-24T14:09:08Z,,,Denominations,$10,,,,,,30.25,,,,DENY,gid://shopify/InventoryItem/49648329195741,,0.0,POUNDS,"https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card.png?v=1772263965, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card_629396de-4eaa-4801-b234-adcd085986b7.png?v=1773059455, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card_397c7879-bae3-4819-9e89-82a152dbb678.png?v=1773059510","Gift card that shows text: Generated data gift card, , ",2026-03-27T09:27:41.543892+00:00,,SKIPPED,,,,,,,0,750,Home page,frontpage,,,,
gid://shopify/Product/9386568515805,gid://shopify/ProductVariant/47521623179485,gift-card,Final Location Validation again,,divyanshgunjanprateek,giftcard,,DRAFT,gid://shopify/ProductTaxonomyNode/5582,Gift Cards,Gift Cards,2026-02-28T07:32:42Z,2026-03-24T14:09:08Z,,,Denominations,$25,,,,,,30.25,,,,DENY,gid://shopify/InventoryItem/49648329228509,,0.0,POUNDS,"https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card.png?v=1772263965, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card_629396de-4eaa-4801-b234-adcd085986b7.png?v=1773059455, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card_397c7879-bae3-4819-9e89-82a152dbb678.png?v=1773059510","Gift card that shows text: Generated data gift card, , ",2026-03-27T09:27:41.543892+00:00,,SKIPPED,,,,,,,0,750,Home page,frontpage,,,,
gid://shopify/Product/9386568515805,gid://shopify/ProductVariant/47521623212253,gift-card,Final Location Validation again,,divyanshgunjanprateek,giftcard,,DRAFT,gid://shopify/ProductTaxonomyNode/5582,Gift Cards,Gift Cards,2026-02-28T07:32:42Z,2026-03-24T14:09:08Z,,,Denominations,$50,,,,,,30.25,,,,DENY,gid://shopify/InventoryItem/49648329261277,,0.0,POUNDS,"https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card.png?v=1772263965, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card_629396de-4eaa-4801-b234-adcd085986b7.png?v=1773059455, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card_397c7879-bae3-4819-9e89-82a152dbb678.png?v=1773059510","Gift card that shows text: Generated data gift card, , ",2026-03-27T09:27:41.543892+00:00,,SKIPPED,,,,,,,0,750,Home page,frontpage,,,,
gid://shopify/Product/9386568515805,gid://shopify/ProductVariant/47521623245021,gift-card,Final Location Validation again,,divyanshgunjanprateek,giftcard,,DRAFT,gid://shopify/ProductTaxonomyNode/5582,Gift Cards,Gift Cards,2026-02-28T07:32:42Z,2026-03-24T14:09:08Z,,,Denominations,$100,,,,,,30.25,,,,DENY,gid://shopify/InventoryItem/49648329294045,,0.0,POUNDS,"https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card.png?v=1772263965, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card_629396de-4eaa-4801-b234-adcd085986b7.png?v=1773059455, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/gift_card_397c7879-bae3-4819-9e89-82a152dbb678.png?v=1773059510","Gift card that shows text: Generated data gift card, , ",2026-03-27T09:27:41.543892+00:00,,SKIPPED,,,,,,,0,750,Home page,frontpage,,,,
gid://shopify/Product/9386568548573,gid://shopify/ProductVariant/47521623376093,the-inventory-not-tracked-snowboard,The Inventory Not Tracked Snowboard sadfj,,divyanshgunjanprateek,snowboard,"Accessory, Sport, Winter",ACTIVE,,,,2026-02-28T07:32:42Z,2026-03-27T09:27:07Z,,,Title,Default Title,,,,,sku-untracked-1,4328.92,,,,DENY,gid://shopify/InventoryItem/49648329720029,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0815/1921/4813/files/snowboard_purple_hydrogen.png?v=1772263965,"Top and bottom view of a snowboard. The top view shows a centred hexagonal logo for Hydrogen that
          appears to radiate outwards",2026-03-27T09:27:41.543892+00:00,,SKIPPED,,,,,,,0,0,,,,,,
gid://shopify/Product/9386568581341,gid://shopify/ProductVariant/47521623081181,the-draft-snowboard,The Draft Snowboard,,Snowboard Vendor,snowboard,,DRAFT,,,,2026-02-28T07:32:42Z,2026-03-27T09:27:07Z,,,Title,Default Title,,,,,,11984.67,,,,DENY,gid://shopify/InventoryItem/49648329162973,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0815/1921/4813/files/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1772263964,Top and bottom view of a snowboard.The top view shows the text “hydrogen” in overlapping blue,2026-03-27T09:27:41.543892+00:00,,SKIPPED,,,,,,,0,200,,,,,,
gid://shopify/Product/9386568614109,gid://shopify/ProductVariant/47521623408861,selling-plans-ski-wax,Selling Plans Ski Wax,,divyanshgunjanprateek,accessories,"Accessory, Sport, Winter",ACTIVE,,,,2026-02-28T07:32:42Z,2026-03-10T12:28:36Z,,,Title,Selling Plans Ski Wax,,,,,,113.65,,,,DENY,gid://shopify/InventoryItem/49648329457885,,2.0,OUNCES,"https://cdn.shopify.com/s/files/1/0815/1921/4813/files/snowboard_wax.png?v=1772263964, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/wax-special.png?v=1772263964, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/sample-normal-wax.png?v=1772263964","A bar of golden yellow wax, A bar of purple wax, a small cube of wax",2026-03-27T09:27:41.543892+00:00,,SKIPPED,,,,,,,0,10,Automated Collection,automated-collection,,,,
gid://shopify/Product/9386568614109,gid://shopify/ProductVariant/47521623441629,selling-plans-ski-wax,Selling Plans Ski Wax,,divyanshgunjanprateek,accessories,"Accessory, Sport, Winter",ACTIVE,,,,2026-02-28T07:32:42Z,2026-03-10T12:28:36Z,,,Title,Special Selling Plans Ski Wax,,,,,,227.61,,,,DENY,gid://shopify/InventoryItem/49648329490653,,2.5,OUNCES,"https://cdn.shopify.com/s/files/1/0815/1921/4813/files/snowboard_wax.png?v=1772263964, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/wax-special.png?v=1772263964, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/sample-normal-wax.png?v=1772263964","A bar of golden yellow wax, A bar of purple wax, a small cube of wax",2026-03-27T09:27:41.543892+00:00,,SKIPPED,,,,,,,0,10,Automated Collection,automated-collection,,,,
gid://shopify/Product/9386568614109,gid://shopify/ProductVariant/47521623474397,selling-plans-ski-wax,Selling Plans Ski Wax,,divyanshgunjanprateek,accessories,"Accessory, Sport, Winter",ACTIVE,,,,2026-02-28T07:32:42Z,2026-03-10T12:28:36Z,,,Title,Sample Selling Plans Ski Wax,,,,,,45.32,,,,DENY,gid://shopify/InventoryItem/49648329523421,,0.5,OUNCES,"https://cdn.shopify.com/s/files/1/0815/1921/4813/files/snowboard_wax.png?v=1772263964, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/wax-special.png?v=1772263964, https://cdn.shopify.com/s/files/1/0815/1921/4813/files/sample-normal-wax.png?v=1772263964","A bar of golden yellow wax, A bar of purple wax, a small cube of wax",2026-03-27T09:27:41.543892+00:00,,SKIPPED,,,,,,,0,10,Automated Collection,automated-collection,,,,
gid://shopify/Product/9386568646877,gid://shopify/ProductVariant/47521623310557,the-archived-snowboard,The Archived Snowboard,,Snowboard Vendor,snowboard,"Archived, Premium, Snow, Snowboard, Sport, Winter",ARCHIVED,,,,2026-02-28T07:32:42Z,2026-03-10T12:28:37Z,,,Title,Default Title,,,,,,2609.72,,,,DENY,gid://shopify/InventoryItem/49648329392349,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0815/1921/4813/files/Main_52f8e304-92d9-4a36-82af-50df8fe31c69.jpg?v=1772263964,"The top and bottom view of a snowboard.The top view is a gradient light purple and dark purple
        with a cube geometric pattern. The bottom view blue with light blue octagon geometric pattern.",2026-03-27T09:27:41.543892+00:00,,SKIPPED,,,,,,,0,50,,,,,,
