Product ID,Variant ID,Handle,Title,Body (HTML),Vendor,Type,Tags,Status,Product Category ID,Product Category Name,Product Category Full Path,Created At,Updated At,SEO Title,SEO Description,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Barcode,Variant Tax Code,Variant Inventory Policy,Inventory Item ID,Cost per item,Variant Grams,Variant Weight Unit,Image URLs,Image Alt Text,Last Synced,Delete,Sync Status,custom.dsxdcfvgbhn,custom.test,custom.test3,custom.test_2,test_data.binding_mount,test_data.snowboard_length,Inventory Qty - My Custom Location,Inventory Qty - Shop location,Collection Names,Collection Handles,global.title_tag,global.description_tag,test_data.snowboard_weight
gid://shopify/Product/14902666264943,gid://shopify/ProductVariant/52737774485871,gift-card,Gift Card,This is a gift card for the store,Snowboard Vendor,giftcard,,ACTIVE,gid://shopify/ProductTaxonomyNode/5582,Gift Cards,Gift Cards,2026-02-28T07:39:28Z,2026-03-27T09:33:36Z,,,Denominations,Default Title,,,,,,10.00,,,,DENY,gid://shopify/InventoryItem/53940228227439,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/gift_card_99bd75df-7649-483c-b0e3-159d2e231141.png?v=1773059540,,2026-03-27T09:38:16.406032+00:00,,,,,,,,,0,100000,,,,,
gid://shopify/Product/14902666297711,gid://shopify/ProductVariant/52714025746799,the-inventory-not-tracked-snowboard,The Inventory Not,,gunjanck,snowboard,"Accessory, Sport, Winter",ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:33:36Z,,,Title,Default Title,,,,,sku-untracked-1,949.95,,,,DENY,gid://shopify/InventoryItem/53916365619567,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/snowboard_purple_hydrogen.png?v=1772264371,"Top and bottom view of a snowboard. The top view shows a centred hexagonal logo for Hydrogen that
          appears to radiate outwards",2026-03-27T09:38:16.406032+00:00,,,,,,,,,0,0,,,,,
gid://shopify/Product/14902666330479,gid://shopify/ProductVariant/52714026107247,the-draft-snowboard,The Draft Snowboard,,Snowboard Vendor,snowboard,,DRAFT,,,,2026-02-28T07:39:28Z,2026-03-27T09:33:36Z,,,Title,Default Title,,,,,,2629.95,,,,DENY,gid://shopify/InventoryItem/53916366012783,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1772264370,Top and bottom view of a snowboard.The top view shows the text “hydrogen” in overlapping blue,2026-03-27T09:38:16.406032+00:00,,,1,,,ejhfei,,,0,20,,,,,
gid://shopify/Product/14902666363247,gid://shopify/ProductVariant/52714025910639,the-compare-at-price-snowboard,The Compare at,,gunjanck,snowboard,"Accessory, Sport, wheel, Winter",ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:33:36Z,,,Title,Default Title,,,,,,785.95,885.95,,,DENY,gid://shopify/InventoryItem/53916365848943,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/snowboard_sky.png?v=1772264370,Top and bottom view of a snowboard. The top view shows pixelated clouds,2026-03-27T09:38:16.406032+00:00,,,1,hgdyt,,,,,0,10,Automated Collection,automated-collection,,,
gid://shopify/Product/14902666396015,gid://shopify/ProductVariant/52714025714031,the-minimal-snowboard,The Minimal Snowboard,,gunjanck,,,ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:33:36Z,,,Title,Default Title,,,,,,885.95,,,,DENY,gid://shopify/InventoryItem/53916365652335,,0.0,POUNDS,,,2026-03-27T09:38:16.406032+00:00,,,2,,,,,,0,5145,,,,,
gid://shopify/Product/14902666428783,gid://shopify/ProductVariant/52714026140015,the-complete-snowboard,The Complete Sno,This <b>PREMIUM</b> <i>snowboard</i> is so <b>SUPER<i>DUPER</i> awesome!</b>,Snowboard Vendor,snowboard,"Premium, Snow, Snowboard, Sport, Winter",ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:35:59Z,Complete Snowboard,snowboard winter sport snowboarding,Color,Ice,,,,,,699.95,,,,DENY,gid://shopify/InventoryItem/53916366045551,,10.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1772264370,"Top and bottom view of a snowboard. The top view shows abstract circles and lines in shades of
          teal. The bottom view shows abstract circles and lines in shades of purple and blue with the text “SHOPIFY”
          in a sans serif typeface on top.",2026-03-27T09:38:16.406032+00:00,,,2,lksadfjlk,,hfiewhf,,"{""value"":159.0,""unit"":""CENTIMETERS""}",0,10,Automated Collection,automated-collection,Complete Snowboard,snowboard winter sport snowboarding,"{""value"":7.0,""unit"":""POUNDS""}"
gid://shopify/Product/14902666428783,gid://shopify/ProductVariant/52714026172783,the-complete-snowboard,The Complete Sno,This <b>PREMIUM</b> <i>snowboard</i> is so <b>SUPER<i>DUPER</i> awesome!</b>,Snowboard Vendor,snowboard,"Premium, Snow, Snowboard, Sport, Winter",ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:35:59Z,Complete Snowboard,snowboard winter sport snowboarding,Color,Dawn,,,,,,70.00,,,,DENY,gid://shopify/InventoryItem/53916366078319,,10.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1772264370,"Top and bottom view of a snowboard. The top view shows abstract circles and lines in shades of
          teal. The bottom view shows abstract circles and lines in shades of purple and blue with the text “SHOPIFY”
          in a sans serif typeface on top.",2026-03-27T09:38:16.406032+00:00,,,2,lksadfjlk,,hfiewhf,,"{""value"":159.0,""unit"":""CENTIMETERS""}",0,10,Automated Collection,automated-collection,Complete Snowboard,snowboard winter sport snowboarding,"{""value"":7.0,""unit"":""POUNDS""}"
gid://shopify/Product/14902666428783,gid://shopify/ProductVariant/52714026205551,the-complete-snowboard,The Complete Sno,This <b>PREMIUM</b> <i>snowboard</i> is so <b>SUPER<i>DUPER</i> awesome!</b>,Snowboard Vendor,snowboard,"Premium, Snow, Snowboard, Sport, Winter",ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:35:59Z,Complete Snowboard,snowboard winter sport snowboarding,Color,Powder,,,,,,699.95,,,,DENY,gid://shopify/InventoryItem/53916366111087,,10.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1772264370,"Top and bottom view of a snowboard. The top view shows abstract circles and lines in shades of
          teal. The bottom view shows abstract circles and lines in shades of purple and blue with the text “SHOPIFY”
          in a sans serif typeface on top.",2026-03-27T09:38:16.406032+00:00,,,2,lksadfjlk,,hfiewhf,,"{""value"":159.0,""unit"":""CENTIMETERS""}",0,10,Automated Collection,automated-collection,Complete Snowboard,snowboard winter sport snowboarding,"{""value"":7.0,""unit"":""POUNDS""}"
gid://shopify/Product/14902666428783,gid://shopify/ProductVariant/52714026238319,the-complete-snowboard,The Complete Sno,This <b>PREMIUM</b> <i>snowboard</i> is so <b>SUPER<i>DUPER</i> awesome!</b>,Snowboard Vendor,snowboard,"Premium, Snow, Snowboard, Sport, Winter",ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:35:59Z,Complete Snowboard,snowboard winter sport snowboarding,Color,Electric,,,,,,699.95,,,,DENY,gid://shopify/InventoryItem/53916366143855,,10.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1772264370,"Top and bottom view of a snowboard. The top view shows abstract circles and lines in shades of
          teal. The bottom view shows abstract circles and lines in shades of purple and blue with the text “SHOPIFY”
          in a sans serif typeface on top.",2026-03-27T09:38:16.406032+00:00,,,2,lksadfjlk,,hfiewhf,,"{""value"":159.0,""unit"":""CENTIMETERS""}",0,10,Automated Collection,automated-collection,Complete Snowboard,snowboard winter sport snowboarding,"{""value"":7.0,""unit"":""POUNDS""}"
gid://shopify/Product/14902666428783,gid://shopify/ProductVariant/52714026271087,the-complete-snowboard,The Complete Sno,This <b>PREMIUM</b> <i>snowboard</i> is so <b>SUPER<i>DUPER</i> awesome!</b>,Snowboard Vendor,snowboard,"Premium, Snow, Snowboard, Sport, Winter",ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:35:59Z,Complete Snowboard,snowboard winter sport snowboarding,Color,Sunset,,,,,,699.95,,,,DENY,gid://shopify/InventoryItem/53916366176623,,10.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1772264370,"Top and bottom view of a snowboard. The top view shows abstract circles and lines in shades of
          teal. The bottom view shows abstract circles and lines in shades of purple and blue with the text “SHOPIFY”
          in a sans serif typeface on top.",2026-03-27T09:38:16.406032+00:00,,,2,lksadfjlk,,hfiewhf,,"{""value"":159.0,""unit"":""CENTIMETERS""}",0,10,Automated Collection,automated-collection,Complete Snowboard,snowboard winter sport snowboarding,"{""value"":7.0,""unit"":""POUNDS""}"
gid://shopify/Product/14902666461551,gid://shopify/ProductVariant/52714025976175,the-videographer-snowboard,The Videographer Snowboard,,gunjanck,snowboard,,ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:33:36Z,,,Title,Default Title,,,,,,885.95,,,,DENY,gid://shopify/InventoryItem/53916365881711,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/Main.jpg?v=1772264369,"The top and bottom view of a snowboard. The top has view is turquoise and black with graphics of
        trees. The bottom view is turquoise with the word hydrogen written in cursive.",2026-03-27T09:38:16.406032+00:00,,,1,fhfjhg,,,,,0,50,,,,,
gid://shopify/Product/14902666494319,gid://shopify/ProductVariant/52714026008943,the-out-of-stock-snowboard,The Out of Stock Snowboard,,gunjanck,snowboard,"Accessory, Sport, Winter",ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:33:36Z,,,Title,Default Title,,,,,,885.95,,,,DENY,gid://shopify/InventoryItem/53916365914479,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/Main_f44a9605-cd62-464d-b095-d45cdaa0d0d7.jpg?v=1772264370,"Top and bottom view of a snowboard. The top view shows a toggle at the top in shades of blue and
        yellow. The bottom view shows an abstract illustration of toggles in blues and yellows.",2026-03-27T09:38:16.406032+00:00,,,,,,,,,0,0,,,,,
gid://shopify/Product/14902666527087,gid://shopify/ProductVariant/52740579066223,selling-plans-ski-wax,Selling Plans Ski  1212 4565,Selling Plans Ski  1212 4565 chj,gunjanck,accessories,"Accessory, Sport, Winter",ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:33:36Z,,,Title,Default Title,,,,,,2768.95,,,,DENY,gid://shopify/InventoryItem/53943040213359,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/snowboard_wax_3efd73c7-455c-4d5d-abb6-98df47138a85.png?v=1773120207,,2026-03-27T09:38:16.406032+00:00,,,,,,,,,0,10,,,,,
gid://shopify/Product/14902666559855,gid://shopify/ProductVariant/52714026041711,the-collection-snowboard-hydrogen,The Collection Snowboard: Hydrogen,,Hydrogen Vendor,snowboard,"Accessory, Sport, Winter",ACTIVE,,,,2026-02-28T07:39:28Z,2026-03-27T09:33:42Z,,,Title,Default Title,,,,,,600.00,,,,DENY,gid://shopify/InventoryItem/53916365980015,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/Main_0a40b01b-5021-48c1-80d1-aa8ab4876d3d.jpg?v=1772264370,"Top and bottom view of a snowboard. The top view shows stylized hydrogen bonds and the bottom view shows ""H2"" in a brush script typeface.",2026-03-27T09:38:16.406032+00:00,,,,,,,Optimistic,,0,50,"Automated Collection, Hydrogen","automated-collection, hydrogen",,,
gid://shopify/Product/14902666592623,gid://shopify/ProductVariant/52714025943407,the-archived-snowboard,The Archived Snowboarsdfghd,,Snowboard Vendor,snowboard,"Archived, Premium, Snow, Snowboard, Sport, Winter",ARCHIVED,,,,2026-02-28T07:39:28Z,2026-03-27T09:33:46Z,,,Title,Default Title,,,,,,629.95,,,,DENY,gid://shopify/InventoryItem/53916365685103,,0.0,POUNDS,https://cdn.shopify.com/s/files/1/0961/2682/8911/files/Main_52f8e304-92d9-4a36-82af-50df8fe31c69.jpg?v=1772264370,"The top and bottom view of a snowboard.The top view is a gradient light purple and dark purple
        with a cube geometric pattern. The bottom view blue with light blue octagon geometric pattern.",2026-03-27T09:38:16.406032+00:00,,,,,,,,,0,50,Automated Collection,automated-collection,,,
